1 			2         3 			4 			8 			9 			10 			11 			12 			13 			14 			15 			16 			17 			M047 		M048 		M046 		T004 		M045		 M050 		L001 		M044 		D004 		M043 		E002 		T005 		M042 		L002 		M027 		L003 		M028 		M029 		M037 		D003 		M030 		D005 		M038 		L005 		M031 		T003 		M036 		M032 		M035 		M033 		M034 		L004 		M039 		L006 		F001 		M040		D006 		M041 		L007 		F002		M004 		M005 		D002 		M011		M012 		M003 		M006		T001 		M010 		M013		M009 		R002 		M002 		M007 		M014 		D013 		I011 		I012 		M008 		M001 		M015        M023 		M016		D012 		D008 		D009 		D016 		M022 		D010 		L010 		M017 		T002 		R001 		D007 		D014 		D015 		M018 		M019 		M021 		M026 		L009 		M025 		M024 		D001 		M020 		L011 		D011 		M051
0.292106473 0.010529465 0.011215914 0.010406593 0.010358454 0.009767164 0.009640802 0.009826796 0.009508909 0.009516960 0.009477093 0.009546043 0.009550616 0.009201962 0.023483163 0.023483163 0.023483163 0.022264285 0.024906434 0.024909763 0.031538402 0.023483163 0.024898816 0.022264285 0.022264285 0.022264285 0.022264285 0.022264285 0.005811397 0.005547427 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005811397 0.005601083 0.005811397 0.005498681 0.005329244 0.005811397 0.005728559 0.005811397 0.005811397 0.005269562 0.005855549 0.005855549 0.005618251 0.005855549 0.005855549 0.005855549 0.005855549 0.005855549 0.005855549 0.005855549 0.005855549 0.005461908 0.005855549 0.005855549 0.005855549 0.005495790 0.004986074 0.005023355 0.005855549 0.005855549 0.005855549 0.005803651 0.005803651 0.005803651 0.005557052 0.005720183 0.005557052 0.005803651 0.005654253 0.005803651 0.005803651 0.005803651 0.005394643 0.005803651 0.005720183 0.005720183 0.005803651 0.005803651 0.005803651 0.005803651 0.005803651 0.005803651 0.005803651 0.005803651 0.005803651 0.005409037 0.005557052 0.005803651
0.012226893 0.254317968 0.010935097 0.010260092 0.011451711 0.010963421 0.010831336 0.010874501 0.011193178 0.011259066 0.011039311 0.010902700 0.011041251 0.011643458 0.006565258 0.006565258 0.006565258 0.006719953 0.006419860 0.006433503 0.005908259 0.006565258 0.006446827 0.006719953 0.006719953 0.006719953 0.006719953 0.006719953 0.020395655 0.022483365 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.020395655 0.022479266 0.020395655 0.023857283 0.025632200 0.020395655 0.021324785 0.020395655 0.020395655 0.025599785 0.006640306 0.006640306 0.006312487 0.006640306 0.006640306 0.006640306 0.006640306 0.006640306 0.006640306 0.006640306 0.006640306 0.006189927 0.006640306 0.006640306 0.006640306 0.006153371 0.005512288 0.005489282 0.006640306 0.006640306 0.006640306 0.006597227 0.006597227 0.006597227 0.006261508 0.006432441 0.006261508 0.006597227 0.006446317 0.006597227 0.006597227 0.006597227 0.006133906 0.006597227 0.006432441 0.006432441 0.006597227 0.006597227 0.006597227 0.006597227 0.006597227 0.006597227 0.006597227 0.006597227 0.006597227 0.006108493 0.006261508 0.006597227
0.012374936 0.010390137 0.267044286 0.010283828 0.010180901 0.010605372 0.010561848 0.010559903 0.010217198 0.010237135 0.010671842 0.010560598 0.010376643 0.011135209 0.006249422 0.006249422 0.006249422 0.006399510 0.006141367 0.006113659 0.005698910 0.006249422 0.006120789 0.006399510 0.006399510 0.006399510 0.006399510 0.006399510 0.006275475 0.006038344 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.006275475 0.005974730 0.006275475 0.005838735 0.005648833 0.006275475 0.006115234 0.006275475 0.006275475 0.005658458 0.021030648 0.021030648 0.023301059 0.021030648 0.021030648 0.021030648 0.021030648 0.021030648 0.021030648 0.021030648 0.021030648 0.024855087 0.021030648 0.021030648 0.021030648 0.024819744 0.032379920 0.032395807 0.021030648 0.021030648 0.021030648 0.006268767 0.006268767 0.006268767 0.005989773 0.006107964 0.005989773 0.006268767 0.006166388 0.006268767 0.006268767 0.006268767 0.005896334 0.006268767 0.006107964 0.006107964 0.006268767 0.006268767 0.006268767 0.006268767 0.006268767 0.006268767 0.006268767 0.006268767 0.006268767 0.005832463 0.005989773 0.006268767
0.012200549 0.010358868 0.010927409 0.252008929 0.010862338 0.011067036 0.011315320 0.011137472 0.011270473 0.011338823 0.011116266 0.011316129 0.011322336 0.011491987 0.006632663 0.006632663 0.006632663 0.006774143 0.006488037 0.006501857 0.005934776 0.006632663 0.006489456 0.006774143 0.006774143 0.006774143 0.006774143 0.006774143 0.006659286 0.006396975 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006659286 0.006365284 0.006659286 0.006178015 0.005992659 0.006659286 0.006508398 0.006659286 0.006659286 0.006031416 0.006695648 0.006695648 0.006424559 0.006695648 0.006695648 0.006695648 0.006695648 0.006695648 0.006695648 0.006695648 0.006695648 0.006289313 0.006695648 0.006695648 0.006695648 0.006256721 0.005598226 0.005580441 0.006695648 0.006695648 0.006695648 0.020280693 0.020280693 0.020280693 0.022358264 0.021209830 0.022358264 0.020280693 0.021241744 0.020280693 0.020280693 0.020280693 0.023741332 0.020280693 0.021209830 0.021209830 0.020280693 0.020280693 0.020280693 0.020280693 0.020280693 0.020280693 0.020280693 0.020280693 0.020280693 0.023736602 0.022358264 0.020280693
0.016429762 0.015642171 0.014635717 0.014695654 0.191078490 0.014139472 0.013978974 0.013976017 0.014012181 0.014075396 0.013877638 0.013942173 0.013932598 0.014024809 0.018712827 0.018712827 0.018712827 0.018107082 0.019436787 0.019449575 0.022925807 0.018712827 0.019442954 0.018107082 0.018107082 0.018107082 0.018107082 0.018107082 0.018065874 0.008139128 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.018065874 0.019398037 0.018065874 0.020288680 0.021423372 0.018065874 0.018669646 0.018065874 0.018065874 0.007713169 0.018005616 0.018005616 0.008069939 0.018005616 0.018005616 0.018005616 0.018005616 0.018005616 0.018005616 0.018005616 0.018005616 0.007866323 0.018005616 0.018005616 0.018005616 0.007879184 0.007087508 0.007096212 0.018005616 0.018005616 0.018005616 0.018012939 0.018012939 0.018012939 0.008064884 0.018612627 0.008064884 0.018012939 0.008245518 0.018012939 0.018012939 0.018012939 0.007860481 0.018012939 0.018612627 0.018612627 0.018012939 0.018012939 0.018012939 0.018012939 0.018012939 0.018012939 0.018012939 0.018012939 0.018012939 0.007869915 0.008064884 0.018012939
0.016386961 0.015840405 0.016126766 0.015837642 0.014956390 0.181819686 0.015035461 0.014914981 0.014872620 0.014968580 0.015085260 0.014897829 0.014875786 0.014289026 0.018582118 0.018582118 0.018582118 0.018000386 0.019238371 0.019231216 0.022417029 0.018582118 0.019234202 0.018000386 0.018000386 0.018000386 0.018000386 0.018000386 0.017972679 0.019168111 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.017972679 0.019212299 0.017972679 0.020021944 0.021043793 0.017972679 0.018553456 0.017972679 0.017972679 0.008175615 0.017987015 0.017987015 0.019226109 0.017987015 0.017987015 0.017987015 0.017987015 0.017987015 0.017987015 0.017987015 0.017987015 0.008408117 0.017987015 0.017987015 0.017987015 0.020041504 0.024191614 0.024208124 0.017987015 0.017987015 0.017987015 0.017972894 0.017972894 0.017972894 0.019211247 0.018553797 0.019211247 0.017972894 0.018512559 0.017972894 0.017972894 0.017972894 0.008375567 0.017972894 0.018553797 0.018553797 0.017972894 0.017972894 0.017972894 0.017972894 0.017972894 0.017972894 0.017972894 0.017972894 0.017972894 0.020024076 0.019211247 0.017972894
0.016069959 0.015547978 0.015956329 0.016087839 0.014690634 0.014937862 0.182820443 0.015044566 0.014867731 0.014721616 0.014900845 0.014705894 0.014817882 0.014587635 0.018558404 0.018558404 0.018558404 0.017994721 0.019228217 0.019217119 0.022425140 0.018558404 0.008604178 0.017994721 0.017994721 0.017994721 0.017994721 0.017994721 0.017969019 0.019192870 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.017969019 0.019180633 0.017969019 0.020026707 0.008093985 0.017969019 0.018531868 0.017969019 0.017969019 0.008109195 0.017990079 0.017990079 0.019227448 0.017990079 0.017990079 0.017990079 0.017990079 0.017990079 0.017990079 0.017990079 0.017990079 0.020024922 0.017990079 0.017990079 0.017990079 0.020046986 0.007571087 0.024259943 0.017990079 0.017990079 0.017990079 0.017999872 0.017999872 0.017999872 0.019240635 0.018565273 0.019240635 0.017999872 0.018557219 0.017999872 0.017999872 0.017999872 0.020040564 0.017999872 0.018565273 0.018565273 0.017999872 0.017999872 0.017999872 0.017999872 0.017999872 0.017999872 0.017999872 0.017999872 0.017999872 0.020047285 0.019240635 0.017999872
0.016385464 0.015615160 0.015958725 0.015840274 0.014692437 0.014823118 0.015049596 0.182777346 0.014884868 0.014739367 0.014917460 0.014723080 0.014835120 0.014587903 0.018577755 0.018577755 0.018577755 0.018012668 0.019248115 0.019237089 0.022447862 0.018577755 0.019228569 0.018012668 0.018012668 0.018012668 0.018012668 0.018012668 0.017972339 0.019195558 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.017972339 0.008555168 0.017972339 0.020028529 0.008095982 0.017972339 0.018535435 0.017972339 0.017972339 0.021042774 0.017989738 0.017989738 0.019226918 0.017989738 0.017989738 0.017989738 0.017989738 0.017989738 0.017989738 0.017989738 0.017989738 0.020031089 0.017989738 0.017989738 0.017989738 0.020045209 0.007565014 0.024252246 0.017989738 0.017989738 0.017989738 0.017985438 0.017985438 0.017985438 0.019223573 0.018549679 0.019223573 0.017985438 0.018541543 0.017985438 0.017985438 0.017985438 0.020028635 0.017985438 0.018549679 0.018549679 0.017985438 0.017985438 0.017985438 0.017985438 0.017985438 0.017985438 0.017985438 0.017985438 0.017985438 0.008370655 0.019223573 0.017985438
0.015909156 0.016127243 0.015493148 0.016083770 0.014780388 0.014831122 0.014923117 0.014935323 0.182161971 0.015105014 0.014925205 0.015074862 0.015053601 0.014586204 0.018545961 0.018545961 0.018545961 0.017983112 0.019190475 0.019202061 0.007913965 0.018545961 0.019202027 0.017983112 0.017983112 0.017983112 0.017983112 0.017983112 0.017999545 0.019199579 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.017999545 0.019223441 0.017999545 0.020013807 0.021052301 0.017999545 0.018564898 0.017999545 0.017999545 0.021084009 0.017961237 0.017961237 0.019188013 0.017961237 0.017961237 0.017961237 0.017961237 0.017961237 0.017961237 0.017961237 0.017961237 0.019962469 0.017961237 0.017961237 0.017961237 0.019987422 0.007573941 0.007547990 0.017961237 0.017961237 0.017961237 0.017997419 0.017997419 0.017997419 0.019232137 0.018562711 0.019232137 0.017997419 0.018549319 0.017997419 0.017997419 0.017997419 0.020011963 0.017997419 0.018562711 0.018562711 0.017997419 0.017997419 0.017997419 0.017997419 0.017997419 0.017997419 0.017997419 0.017997419 0.017997419 0.020045562 0.019232137 0.017997419
0.015587433 0.015880676 0.015196593 0.015840672 0.014534517 0.014612584 0.014465393 0.014477994 0.014787033 0.185633116 0.014483590 0.014740084 0.014598649 0.014282606 0.018573824 0.018573824 0.018573824 0.017992350 0.008445571 0.019260258 0.007726619 0.018573824 0.019261222 0.017992350 0.017992350 0.017992350 0.017992350 0.017992350 0.018013687 0.019252979 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.018013687 0.019288489 0.018013687 0.008237599 0.021201575 0.018013687 0.018598095 0.018013687 0.018013687 0.021198962 0.017972246 0.017972246 0.019236017 0.017972246 0.017972246 0.017972246 0.017972246 0.017972246 0.017972246 0.017972246 0.017972246 0.008191414 0.017972246 0.017972246 0.017972246 0.020071576 0.007398874 0.007360469 0.017972246 0.017972246 0.017972246 0.018011802 0.018011802 0.018011802 0.019284149 0.018596170 0.019284149 0.018011802 0.018579228 0.018011802 0.018011802 0.018011802 0.008227520 0.018011802 0.018596170 0.018596170 0.018011802 0.018011802 0.018011802 0.018011802 0.018011802 0.018011802 0.018011802 0.018011802 0.018011802 0.020134367 0.019284149 0.018011802
